"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000188976.11",8.43953792183194,0.00787567857520724,0.629452746377581,0.0125119456869968,0.990017172178015,NA
"ENSG00000188157.15",0.629385967722386,-3.13866748176801,2.27672843872018,-1.3785866721691,0.168022228122581,NA
"ENSG00000127054.22",1.01767621578377,0.594884569246427,1.48583484286264,0.400370587689484,0.688883584254384,NA
"ENSG00000107404.21",1.26628621666086,1.1702865435693,1.4644353335144,0.799138423381798,0.424210152114973,NA
"ENSG00000205090.10",1.55377777742558,-1.02535192084728,1.39063590751806,-0.737325935066124,0.46092416411506,NA
"ENSG00000248333.9",14.359305638837,-0.676486074201122,0.508765028583082,-1.32966307862226,0.183629304837714,0.710596527418888
"ENSG00000078369.19",8.34123192730472,-0.623663845914204,0.64351629765187,-0.96915004047278,0.332470333607708,NA
"ENSG00000157933.11",2.38688256483217,-0.698885869588238,1.10667441445286,-0.63151895486241,0.527701259513885,NA
"ENSG00000069424.16",1.39156634341436,-1.94769013679762,1.59144820832269,-1.2238476417969,0.221009708173375,NA
"ENSG00000116237.16",1.85626250261854,-0.282140720078608,1.19629444391157,-0.235845549157682,0.813552521826173,NA
"ENSG00000162413.17",0.395486149695757,0.358727972434319,2.56572002668844,0.139815712042957,0.888805598822216,NA
"ENSG00000171735.21",73.6248364024426,-0.571189051907637,0.283107242209292,-2.0175713183818,0.0436359264815694,0.423784815683105
"ENSG00000142599.20",1.09241742179886,0.235632675891255,1.44985555028516,0.162521484188484,0.870895211242285,NA
"ENSG00000171608.18",1.20807795245431,0.46978713149257,1.40897704793369,0.333424261368577,0.738814051972812,NA
"ENSG00000130939.20",1.82150272198327,-0.350555321189176,1.27024610665361,-0.275974332338395,0.782567780766259,NA
"ENSG00000054523.20",1.67575530675804,0.269248040010297,1.39938911637117,0.192403983181246,0.847425772565606,NA
"ENSG00000120948.19",7.79770921755875,-0.255025822596857,0.704781851085543,-0.361850723318218,0.717463585154314,NA
"ENSG00000198793.14",1.86357578698233,-0.163780298723131,1.29749891133513,-0.126227696449164,0.899551688112402,NA
"ENSG00000048707.15",1.25305595442361,-0.900355937168258,1.38097997143262,-0.651968859645544,0.514421261376683,NA
"ENSG00000215909.3",0.500929661866293,-0.199546467685286,2.00450438675574,-0.099549030176107,0.920702360747761,NA
"ENSG00000116731.23",0.437318892720989,-0.811196222349244,2.29101277881164,-0.354077563360434,0.723280756131042,NA
"ENSG00000142634.13",110.698769754547,-0.45195477314637,0.293606530520867,-1.53932125537054,0.123725887356827,0.666519069561235
"ENSG00000197312.13",6.81857805928759,-0.0540315604354301,0.67656810951847,-0.079861228567048,0.936347626418986,NA
"ENSG00000065526.13",2.65261927445109,-0.610695642666792,1.06231298198067,-0.574873557064283,0.565376814714116,NA
"ENSG00000055070.17",35.7340072147273,0.207153787197667,0.329860426432373,0.628004363658144,0.530001081404808,0.887636593726661
"ENSG00000236698.1",1.29270858916627,1.36800757282773,1.35775453330242,1.0075514677166,0.31366983780226,NA
"ENSG00000179051.14",8.78534289279033,0.399342897300727,0.654151373862302,0.610474751345226,0.541547363881245,NA
"ENSG00000169991.11",1.58647325016397,0.561609769469778,1.40409055506351,0.399981160363533,0.689170392982766,NA
"ENSG00000127481.15",9.55563651117905,-0.626830729366698,0.610551286929493,-1.02666351342747,0.304578935645188,NA
"ENSG00000053372.5",49.6949794132141,1.65371027508277,0.432780882597181,3.82112598217974,0.000132843765276477,0.0711282910293587
"ENSG00000077549.19",358.718624882324,-0.186758110716146,0.165285808392893,-1.12991013888024,0.2585140912817,0.775892595331867
"ENSG00000162545.6",9.31275421178686,-2.07717272129168,0.757357017514959,-2.7426598991679,0.00609437701588616,NA
"ENSG00000127483.19",1.18438439978002,0.990397826807793,1.63351586907792,0.606298258594112,0.544316714777987,NA
"ENSG00000075151.24",20.5007021367731,0.117117178704518,0.403427122062504,0.290305664393018,0.771582405801654,0.973991265168353
"ENSG00000090686.16",34.0572333286433,-0.366103041531085,0.35887313928931,-1.02014612254373,0.30765916526186,0.811961641843678
"ENSG00000004487.18",1.62371249856641,0.855189450515293,1.39948327321528,0.611075149580397,0.541149830551809,NA
"ENSG00000125944.22",57.5273900481146,-0.0201687092901051,0.283386848185266,-0.0711702375013526,0.943262268365821,0.988690524150151
"ENSG00000142676.14",95.4313997646821,0.404862560911621,0.279087454676393,1.45066556782736,0.146873007765123,0.680951418871706
"ENSG00000011007.13",1.40491571791793,-0.0406971714632829,1.35111369617019,-0.0301212041433977,0.97597038994135,NA
"ENSG00000057757.10",37.7391686299386,0.044726158452832,0.370974196508706,0.120564068535646,0.904036330334713,0.982621423581558
"ENSG00000011009.12",188.606661604221,-0.428504221608024,0.209166225914967,-2.04863007750699,0.040498301225938,0.410524885058719
"ENSG00000188529.15",45.4217094160762,0.170711440559596,0.364540503824601,0.468292106826446,0.639575712226771,0.951495802193756
"ENSG00000133226.19",61.5243537902931,0.065542948951152,0.289747919728236,0.226206797317568,0.821040584129921,0.978257808960231
"ENSG00000169504.15",1.50304162575198,-1.2786422970059,1.48900862600689,-0.858720543772045,0.39049471344194,NA
"ENSG00000020633.19",4.01738655444667,0.388007161527427,0.906735567280246,0.427916556412642,0.6687118727108,NA
"ENSG00000204178.11",15.5764320216489,-0.708437485066903,1.11265452264529,-0.636709302526915,0.524314213041912,0.885812924695797
"ENSG00000117632.23",0.819296764990754,-0.760558746699489,1.78090051442314,-0.427064140045939,0.669332611102933,NA
"ENSG00000175087.10",3.49399185812032,-0.177868285279496,0.85787724744946,-0.207335356903698,0.835747963208538,NA
"ENSG00000198830.12",44.1126215379872,0.808649653112798,0.404823591692332,1.9975358889839,0.0457669998245514,0.423784815683105
"ENSG00000117676.14",1.91870536039928,-0.294923471485196,1.18823597307961,-0.248202779722978,0.803977515727029,NA
"ENSG00000117713.21",74.3938538072349,0.143128091720792,0.254673649494703,0.562005892658199,0.57411200429095,0.916865439688532
"ENSG00000204160.12",4.22366722716765,0.303823504010581,0.885022935475717,0.343294497613522,0.731376919852522,NA
"ENSG00000175793.12",0.32565050554966,0.788438784135169,2.70300784502635,0.291689417618942,0.770524101061406,NA
"ENSG00000142751.15",6.15441195983727,0.182050827907214,0.720278831655875,0.252750490374249,0.800461028585663,NA
"ENSG00000090273.14",104.389092336939,0.584058988354889,0.25996869621229,2.2466512194143,0.0246623260481681,0.347222590100784
"ENSG00000090020.11",1.23286665541564,0.942471694460392,1.37641250421339,0.68473055248725,0.493513965790402,NA
"ENSG00000214973.3",6.38313747329391,0.432180213127493,0.690281331335082,0.626092860271344,0.531254034974663,NA
"ENSG00000142784.16",0.735815103003259,0.686975002825822,1.82441558566818,0.376545239046629,0.706511589989206,NA
"ENSG00000158195.11",3.6806132707265,-0.672032561163107,0.949702581170429,-0.707624233615205,0.47917863963969,NA
